activity_id,which_group,y_raw,y_z,pred_z
XM-DAC-46004-41171-022-GRNT0243,benefit_cost_ratios__ratio,0.0791812460476248,-0.9837514261724937,-0.3306623790245779
44000-P110020,benefit_cost_ratios__ratio,0.3979400086720376,0.010004021440477724,0.1125018108577001
44000-P121774,benefit_cost_ratios__ratio,0.0334237554869497,-1.1264039924561333,-0.18365735497469876
44000-P152936,benefit_cost_ratios__ratio,0.0791812460476248,-0.9837514261724937,0.13282075908728588
44000-P120660,benefit_cost_ratios__ratio,0.4471580313422192,0.16344506803803333,0.1323548032899584
44000-P150520,benefit_cost_ratios__ratio,0.7403626894942439,1.077533590358574,0.017098330011873802
44000-P119085,benefit_cost_ratios__ratio,0.7937903846908186,1.2440986212862453,0.507520388074933
44000-P060484,benefit_cost_ratios__ratio,0.6434526764861874,0.7754090226695154,0.28517928402558784
44000-P091031,benefit_cost_ratios__ratio,0.4683473304121572,0.22950437008979332,0.15012439640282818
44000-P111421,benefit_cost_ratios__ratio,0.3384564936046049,-0.17544050298528718,0.097668777729289
44000-P104960,benefit_cost_ratios__ratio,0.4471580313422192,0.16344506803803333,-0.22316910778902282
44000-P078091,benefit_cost_ratios__ratio,0.4471580313422192,0.16344506803803333,0.09164437152505019
44000-P127676,benefit_cost_ratios__ratio,1.505149978319906,3.461817957251927,-0.2030834082504925
44000-P083702,benefit_cost_ratios__ratio,0.2671717284030138,-0.39767635045706845,-0.10669189723433078
44000-P164190,benefit_cost_ratios__ratio,0.380211241711606,-0.04526680029736672,0.31722346333899787
44000-P090592,benefit_cost_ratios__ratio,0.3424226808222063,-0.16307560320561143,0.08180810767584329
44000-P093384,benefit_cost_ratios__ratio,0.380211241711606,-0.04526680029736672,-0.47500298452946066
44000-P133327,benefit_cost_ratios__ratio,0.4517864355242902,0.1778744811522611,0.01788607492888209
44000-P128605,benefit_cost_ratios__ratio,0.5987905067631151,0.6361712050198898,0.34599233450149236
44000-P146933,benefit_cost_ratios__ratio,0.380211241711606,-0.04526680029736672,-0.0067741057419235815
44000-P083187,benefit_cost_ratios__ratio,0.5477747053878226,0.4771254422818352,0.14261546830427888
44000-P143594,benefit_cost_ratios__ratio,0.5185139398778874,0.3859027104346611,0.2198917952861684
44000-P111034,benefit_cost_ratios__ratio,1.568201724066995,3.6583867207324983,0.6951379396123555
44000-P118316,benefit_cost_ratios__ratio,0.1139433523068367,-0.8753778329850443,0.0845336805299777
44000-P122139,benefit_cost_ratios__ratio,0.1139433523068367,-0.8753778329850443,0.08253703510295278
44000-P117617,benefit_cost_ratios__ratio,0.1643528557844371,-0.7182222515042742,-0.003500812636820473
44000-P123729,benefit_cost_ratios__ratio,0.2304489213782739,-0.5121625820888391,0.13116549475283912
44000-P126507,benefit_cost_ratios__ratio,-0.2006594505464183,-1.8561767499958604,0.01649574099154986
44000-P132982,benefit_cost_ratios__ratio,1.3729120029701067,3.049555695649371,0.05975114941161866
44000-P132173,benefit_cost_ratios__ratio,0.6627578316815741,0.8355943583901029,0.16795644463166334
44000-P054221,benefit_cost_ratios__ratio,0.2068258760318497,-0.5858092790735369,0.1690115665477799
44000-P161490,benefit_cost_ratios__ratio,1.1038037209559568,2.2105895161864573,-0.3609753218924838
44000-P151909,benefit_cost_ratios__ratio,0.1760912590556812,-0.681626858483435,0.08137234514095691
44000-P113145,benefit_cost_ratios__ratio,0.6020599913279624,0.6463640796265461,0.33958787448244
44000-P157127,benefit_cost_ratios__ratio,0.1643528557844371,-0.7182222515042742,-0.1619014524809331
44000-P106603,benefit_cost_ratios__ratio,0.6444385894678386,0.7784826837300668,0.4762603101434878
44000-P154698,benefit_cost_ratios__ratio,0.9566485792052032,1.751821818147117,0.19972047803294904
44000-P123133,benefit_cost_ratios__ratio,0.5145477526602861,0.37353781065498554,0.26694732433287827
44000-P157836,benefit_cost_ratios__ratio,0.4281347940287888,0.10413863342958128,-0.0564708733904809
44000-P095485,benefit_cost_ratios__ratio,0.99563519459755,1.8733656499500615,0.39077510270636906
44000-P104456,benefit_cost_ratios__ratio,0.0253058652647702,-1.1517121520342288,0.1352367222258534
44000-P107137,benefit_cost_ratios__ratio,0.1238516409670858,-0.8444879658278984,0.15829660699062223
44000-P155658,benefit_cost_ratios__ratio,1.1903316981702914,2.480347272866526,0.04942058758341482
44000-P070899,benefit_cost_ratios__ratio,0.0863598306747482,-0.9613716254711082,-0.11867904023050968
44000-P087925,benefit_cost_ratios__ratio,0.617000341120899,0.6929417921064632,-0.1363605106730224
44000-P126516,benefit_cost_ratios__ratio,0.568201724066995,0.5408082754180585,-0.05277052162329909
44000-P120788,benefit_cost_ratios__ratio,0.6020599913279624,0.6463640796265461,0.3059632630366393
44000-P150631,benefit_cost_ratios__ratio,0.1583624920952496,-0.7368976802212793,-0.012171664266382613
44000-P118179,benefit_cost_ratios__ratio,0.0644579892269184,-1.0296523342815567,-0.13935359667343414
44000-P158434,benefit_cost_ratios__ratio,0.5185139398778874,0.3859027104346611,0.2502424802739706
44000-P095050,benefit_cost_ratios__ratio,0.146128035678238,-0.7750395578370937,-0.297940643734841
44000-P088671,benefit_cost_ratios__ratio,0.3463529744506387,-0.15082260450585394,-0.19594614983195385
44000-P158298,benefit_cost_ratios__ratio,0.3979400086720376,0.010004021440477724,-0.017628274197635286
44000-P131235,benefit_cost_ratios__ratio,0.4166405073382809,0.06830429299898924,-0.10078063507546163
44000-P126440,benefit_cost_ratios__ratio,1.2187979981117376,2.5690931959818344,0.397400624990612
44000-P091297,benefit_cost_ratios__ratio,0.041392685158225,-1.1015602290807385,-0.1818155616269273
44000-P163452,benefit_cost_ratios__ratio,1.5900612308037425,3.7265354477601873,0.10726813798877573
GB-1-203161,benefit_cost_ratios__ratio,0.6106601630898799,0.673175789737502,0.2337918205418563
44000-P084148,benefit_cost_ratios__ratio,0.2227164711475832,-0.5362691022575072,0.3721569336199474
44000-P088220,benefit_cost_ratios__ratio,0.1139433523068367,-0.8753778329850443,-0.12974571674954852
44000-P071340,benefit_cost_ratios__ratio,0.0492180226701816,-1.0771641255261521,0.1181648788298494
44000-P148523,benefit_cost_ratios__ratio,0.146128035678238,-0.7750395578370937,-0.06600367229444144
44000-P161320,benefit_cost_ratios__ratio,0.4471580313422192,0.16344506803803333,-0.15929987343994376
44000-P145037,benefit_cost_ratios__ratio,0.4623979978989561,0.2109568592826291,0.021106042749883137
44000-P126813,benefit_cost_ratios__ratio,0.2944662261615929,-0.3125836125692389,-0.1569240359506317
44000-P154908,benefit_cost_ratios__ratio,0.3010299956639812,-0.29212054624858086,0.11340453565447517
44000-P119140,benefit_cost_ratios__ratio,0.2041199826559248,-0.5942451139376395,-0.2272108586571654
44000-P086446,benefit_cost_ratios__ratio,0.8061799739838872,1.2827241378126144,0.32001002503898474
44000-P040712,benefit_cost_ratios__ratio,0.2304489213782739,-0.5121625820888391,0.1928384600873808
44000-P128891,benefit_cost_ratios__ratio,0.1553360374650618,-0.7463328899420749,0.046997197220697305
44000-P163383,benefit_cost_ratios__ratio,0.6720978579357175,0.8647126229186914,0.17175496651777064
44000-P127813,benefit_cost_ratios__ratio,0.2121876044039577,-0.5690936702710221,-0.2793801756706387
44000-P084967,benefit_cost_ratios__ratio,0.271841606536499,-0.38311763904586965,0.07546962424637048
44000-P166802,benefit_cost_ratios__ratio,0.3344537511509309,-0.18791936658100625,-0.08237116056173124
44000-P121186,benefit_cost_ratios__ratio,0.2355284469075489,-0.496326762786347,0.05594095567843522
44000-P163250,benefit_cost_ratios__ratio,0.1398790864012364,-0.7945211474089372,-0.04203804894787331
44000-P122841,benefit_cost_ratios__ratio,0.3010299956639812,-0.29212054624858086,-0.20296856962388934
44000-P149620,benefit_cost_ratios__ratio,0.3838153659804312,-0.03403066016264253,-0.018979935507306603
XM-DAC-46004-42022-013-LN2694,yield_increases_percent__percent,183.33,2.351873099367269,-0.3157067315087898
GB-1-201239,yield_increases_percent__percent,100.0,0.9696408915329924,-0.026514356333242468
GB-1-205273,yield_increases_percent__percent,58.18,0.2759537328670925,-0.1702095746023373
GB-1-204764,yield_increases_percent__percent,2.15,-0.6534410901852835,-0.15820340892681442
44000-P112074,yield_increases_percent__percent,0.86,-0.6748389006749778,-0.2471685789612541
44000-P073977,yield_increases_percent__percent,10.0,-0.5232296077479972,-0.040000973282593943
44000-P133327,yield_increases_percent__percent,3.09,-0.6378488871927933,0.01788607492888209
44000-P125496,yield_increases_percent__percent,100.0,0.9696408915329924,-0.09395156280183674
44000-P087964,yield_increases_percent__percent,100.0,0.9696408915329924,-0.10543064661369166
44000-P162956,yield_increases_percent__percent,39.0,-0.04219355797967837,0.15753291317574966
44000-P127775,yield_increases_percent__percent,1.84,-0.6585831996828069,-0.3300409421674701
44000-P071170,yield_increases_percent__percent,3.01,-0.6391758831921541,-0.11062556342530389
44000-P133828,yield_increases_percent__percent,3.01,-0.6391758831921541,0.07159117152061671
44000-P157836,yield_increases_percent__percent,5.4,-0.5995318777112478,-0.0564708733904809
44000-P122770,yield_increases_percent__percent,0.86,-0.6748389006749778,0.15122964472527672
44000-P113949,yield_increases_percent__percent,2.15,-0.6534410901852835,-0.14306331912273348
44000-P093826,yield_increases_percent__percent,4.0,-0.6227543077000632,-0.13034042068789053
44000-P117745,yield_increases_percent__percent,100.0,0.9696408915329924,0.051403613393245576
44000-P045499,yield_increases_percent__percent,18.0,-0.3905300078119093,0.14170074776569183
44000-P145813,yield_increases_percent__percent,100.0,0.9696408915329924,0.08857814149634972
44000-P095050,yield_increases_percent__percent,7.8,-0.5597219977304214,-0.297940643734841
44000-P096648,yield_increases_percent__percent,4.5,-0.6144605827040577,0.11978069940853267
44000-P088671,yield_increases_percent__percent,4.0,-0.6227543077000632,-0.19594614983195385
44000-P112033,yield_increases_percent__percent,28.57,-0.21520066139635305,-0.1490122902862958
44000-P009127,yield_increases_percent__percent,100.0,0.9696408915329924,0.10381125294209867
44000-P086660,yield_increases_percent__percent,100.0,0.9696408915329924,0.3506915851235123
44000-P105176,yield_increases_percent__percent,6.7,-0.5779681927216335,0.1367398014063911
44000-P110538,yield_increases_percent__percent,1.94,-0.6569244546836059,-0.03571650205033327
44000-P084148,yield_increases_percent__percent,240.0,3.2918838904145318,0.3721569336199474
44000-P147629,yield_increases_percent__percent,3.2,-0.6360242676936719,0.19532121177788264
44000-P147514,yield_increases_percent__percent,5.0,-0.6061668577080522,0.2664218839422825
44000-P074086,yield_increases_percent__percent,25.93,-0.2589915293752621,0.29051851766862946
44000-P119140,yield_increases_percent__percent,9.4,-0.5331820777432038,-0.2272108586571654
44000-P084792,yield_increases_percent__percent,28.57,-0.21520066139635305,-0.15603054528487562
44000-P084790,yield_increases_percent__percent,10.63,-0.5127795142530303,-0.14476833753312368
44000-P084302,yield_increases_percent__percent,2.7,-0.6443179926896775,0.03933285552308819
44000-P086747,yield_increases_percent__percent,8.5,-0.5481107827360138,-0.2437076410790197
