activity_id,which_distribution,which_units,log_plot,per_dollar_ok,has_exp,actual_total_expenditure,outcome_norm,baseline_norm,target_norm,outcome_norm_log10,baseline_norm_log10,target_norm_log10,outcome_norm_dollars_per_unit,baseline_norm_dollars_per_unit,target_norm_dollars_per_unit,outcome_norm_dollars_per_unit_log10,baseline_norm_dollars_per_unit_log10,target_norm_dollars_per_unit_log10,outcome_norm_dollars_per_unit_split,baseline_norm_dollars_per_unit_split,target_norm_dollars_per_unit_split,outcome_norm_dollars_per_unit_split_log10,baseline_norm_dollars_per_unit_split_log10,target_norm_dollars_per_unit_split_log10,outcome_over_target
44000-P091031,co2_emission_reductions,tonnes_co2e,True,True,True,22315114.0,235085.57,,,5.371225972120659,,,94.9233676911773,,,1.9773731377179755,,,94.9233676911773,,,1.9773731377179755,,,
44000-P133184,co2_emission_reductions,tonnes_co2e,True,True,True,95037122.0,3500000.0,,,6.544068044350276,,,27.153463428571428,,,1.433825231788063,,,27.153463428571428,,,1.433825231788063,,,
44000-P132306,co2_emission_reductions,tonnes_co2e,True,True,True,58366746.0,243490.0,,,5.386481129682074,,,239.7090065300423,,,2.379684351984488,,,239.7090065300423,,,2.379684351984488,,,
44000-P094916,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,151328858.0,221000.0,,,5.344392273685111,,,684.745963800905,,,2.8355294810075455,,,684.745963800905,,,2.8355294810075455,,,
XM-DAC-41114-PROJECT-00086910,co2_emission_reductions,tonnes_co2e,True,True,False,,9908090.0,,,6.995989942839703,,,,,,,,,,,,,,,
44000-P108440,co2_emission_reductions,tonnes_co2e,True,True,True,92183797.0,304612.0,,,5.483747008097624,,,302.62693853164023,,,2.480907584410625,,,302.62693853164023,,,2.480907584410625,,,
44000-P100968,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,160000004.0,243200.0,0.0,243200.0,5.385963570600698,,5.385963570600698,657.8947532894737,,657.8947532894737,2.8181564229125895,,2.8181564229125895,657.8947532894737,,657.8947532894737,2.8181564229125895,,2.8181564229125895,1.0
44000-P132562,co2_emission_reductions,tonnes_co2e,True,True,True,58031273.0,31000.0,,,4.491361693834273,,,1871.9765483870967,,,3.272300403713052,,,1871.9765483870967,,,3.272300403713052,,,
44000-P124978,co2_emission_reductions,tonnes_co2e,True,True,True,91520300.0,20000.0,,,4.301029995663981,,,4576.015,,,3.660487439387798,,,4576.015,,,3.660487439387798,,,
44000-P074288,co2_emission_reductions,tonnes_co2e,True,True,True,5923144.0,5800.0,,,3.7634279935629373,,,1021.231724137931,,,3.009124297518862,,,1021.231724137931,,,3.009124297518862,,,
44000-P170595,co2_emission_reductions,tonnes_co2e,True,True,True,92998154.0,302826.0,,,5.481193160034695,,,307.10095566430886,,,2.487281167921708,,,307.10095566430886,,,2.487281167921708,,,
44000-P154464,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,27273279.0,351.0,0.0,351.0,2.545307116465824,,2.545307116465824,77701.64957264958,,77701.64957264958,4.890430238784115,,4.890430238784115,38850.82478632479,,38850.82478632479,4.589400243120134,,4.589400243120134,1.0
GB-GOV-7-BPFGFCR,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,51117500.0,1000000.0,,,6.0,,,51.1175,,,1.7085696056598443,,,25.55875,,,1.407539609995863,,,
44000-P122047,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,1945703.0,1198000.0,,,6.078456818053293,,,1.6241260434056761,,,0.2106197304663702,,,0.8120630217028381,,,-0.09041026519761099,,,
GB-1-202571,co2_emission_reductions,tonnes_co2e,True,True,False,,7.58,,,0.8796692056320535,,,,,,,,,,,,,,,
